Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENW212;"'01.01.2023 01:00'";14;-;38;10;gut
DENW212;"'01.01.2023 02:00'";16;-;23;11;gut
DENW212;"'01.01.2023 03:00'";17;-;16;11;gut
DENW212;"'01.01.2023 04:00'";17;-;10;11;gut
DENW212;"'01.01.2023 05:00'";18;-;14;12;gut
DENW212;"'01.01.2023 06:00'";18;-;14;12;gut
DENW212;"'01.01.2023 07:00'";18;-;14;12;gut
DENW212;"'01.01.2023 08:00'";19;-;13;12;gut
DENW212;"'01.01.2023 09:00'";19;-;11;12;gut
DENW212;"'01.01.2023 10:00'";20;-;10;12;gut
DENW212;"'01.01.2023 11:00'";20;-;8;12;gut
DENW212;"'01.01.2023 12:00'";20;-;10;13;gut
DENW212;"'01.01.2023 13:00'";20;-;11;13;gut
DENW212;"'01.01.2023 14:00'";20;-;17;13;gut
DENW212;"'01.01.2023 15:00'";20;-;19;13;gut
DENW212;"'01.01.2023 16:00'";20;-;26;13;gut
DENW212;"'01.01.2023 17:00'";20;-;22;13;gut
DENW212;"'01.01.2023 18:00'";20;-;42;13;mäßig
DENW212;"'01.01.2023 19:00'";20;-;60;13;mäßig
DENW212;"'01.01.2023 20:00'";20;-;40;13;gut
DENW212;"'01.01.2023 21:00'";20;-;28;13;gut
DENW212;"'01.01.2023 22:00'";20;-;27;13;gut
DENW212;"'01.01.2023 23:00'";19;-;23;13;gut
DENW212;"'01.01.2023 24:00'";18;-;27;12;gut
DENW212;"'02.01.2023 01:00'";13;-;23;7;gut
DENW212;"'02.01.2023 02:00'";12;-;18;6;"sehr gut"
DENW212;"'02.01.2023 03:00'";11;-;16;6;"sehr gut"
DENW212;"'02.01.2023 04:00'";12;-;13;6;"sehr gut"
DENW212;"'02.01.2023 05:00'";12;-;17;6;"sehr gut"
DENW212;"'02.01.2023 06:00'";12;-;19;6;"sehr gut"
DENW212;"'02.01.2023 07:00'";12;-;15;6;"sehr gut"
DENW212;"'02.01.2023 08:00'";13;-;28;7;gut
DENW212;"'02.01.2023 09:00'";13;-;25;7;gut
DENW212;"'02.01.2023 10:00'";13;-;26;7;gut
DENW212;"'02.01.2023 11:00'";13;-;28;7;gut
DENW212;"'02.01.2023 12:00'";13;-;28;7;gut
DENW212;"'02.01.2023 13:00'";13;-;38;7;gut
DENW212;"'02.01.2023 14:00'";13;-;44;7;mäßig
DENW212;"'02.01.2023 15:00'";13;-;47;7;mäßig
DENW212;"'02.01.2023 16:00'";13;-;38;7;gut
DENW212;"'02.01.2023 17:00'";13;-;45;7;mäßig
DENW212;"'02.01.2023 18:00'";13;-;48;7;mäßig
DENW212;"'02.01.2023 19:00'";13;-;46;6;mäßig
DENW212;"'02.01.2023 20:00'";13;-;28;6;gut
DENW212;"'02.01.2023 21:00'";13;-;31;6;gut
DENW212;"'02.01.2023 22:00'";12;-;29;6;gut
DENW212;"'02.01.2023 23:00'";12;-;23;6;gut
